Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
20 === ,22 May 1976 ,Quarter-finals,Full time »,USSR,2-2,Czechoslovakia,Aggregate: 2-4, ,(,agg,: 2-4) ,Referee,not available, ,Stadium,:,NSK Olimpiyskyi, ,Kyiv (UKR) ,,,,
19 === ,22 May 1976 ,Quarter-finals,Full time »,Belgium,1-2,Netherlands,Aggregate: 1-7, ,(,agg,: 1-7) ,Referee,Alberto Michelotti (ITA)  ,Stadium,:,King Baudouin Stadium, ,Brussels (BEL) ,,,,,
9 === ,25 April 1976 ,Quarter-finals,Full time »,Netherlands,5-0,Belgium,Referee: Jean Dubach (SUI)   – Stadium: Feijenoord Stadion, Rotterdam (NED) ,,,,,,,,,,,,,,,
14 === ,24 April 1976 ,Quarter-finals,Full time »,Yugoslavia,2-0,Wales,Referee,Paul Schiller (AUT)  ,Stadium,:,Stadion Maksimir, ,Zagreb (CRO) ,,,,,,,,,,
15 === ,24 April 1976 ,Quarter-finals,Full time »,Czechoslovakia,2-0,USSR,Referee,not available, ,Stadium,:,Tehelné Pole, ,Bratislava (SVK) ,,,,,,,,,
14 === ,24 April 1976 ,Quarter-finals,Full time »,Spain,1-1,West Germany,Referee,John Keith Taylor (ENG)  ,Stadium,:,Estadio Vicente Calderón, ,Madrid (ESP) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
15 === ,22 June 1980 ,Final,Full time »,Belgium,1-2,West Germany,Referee,not available, ,Stadium,:,Stadio Olimpico, ,Rome (ITA) ,,,,,,,,,
20 === ,21 June 1980 ,Third place,Full time »,Czechoslovakia,1-1,Italy,Czechoslovakia win  9-8  on penalties, ,(,9-8p,) ,Referee,not available, ,Stadium,:,Stadio San Paolo, ,Naples (ITA) ,,,,
16 === ,18 June 1980 ,Group 2   ,Full time »,Spain,1-2,England,Referee,not available, ,Stadium,:,Stadio San Paolo, ,Naples (ITA) ,,,,,,,,,
16 === ,18 June 1980 ,Group 2   ,Full time »,Italy,0-0,Belgium,Referee,not available, ,Stadium,:,Stadio Olimpico, ,Rome (ITA) ,,,,,,,,,
10 === ,17 June 1980 ,Group 1   ,Full time »,Netherlands,1-1,Czechoslovakia,Referee: Hilmi Ok (TUR)   – Stadium: Stadio Giuseppe Meazza, Milan (ITA) ,,,,,,,,,,,,,,,
10 === ,17 June 1980 ,Group 1   ,Full time »,Greece,0-0,West Germany,Referee: Brian R. Mcginlay (SCO)   – Stadium: Delle Alpi, Turin (ITA) ,,,,,,,,,,,,,,,
10 === ,15 June 1980 ,Group 2   ,Full time »,Belgium,2-1,Spain,Referee: Charles Corver (NED)   – Stadium: Stadio Giuseppe Meazza, Milan (ITA) ,,,,,,,,,,,,,,,
10 === ,15 June 1980 ,Group 2   ,Full time »,England,0-1,Italy,Referee: Nicolae Rainea (ROU)   – Stadium: Delle Alpi, Turin (ITA) ,,,,,,,,,,,,,,,
10 === ,14 June 1980 ,Group 1   ,Full time »,West Germany,3-2,Netherlands,Referee: Robert Wurtz (FRA)   – Stadium: Stadio San Paolo, Naples (ITA) ,,,,,,,,,,,,,,,
10 === ,14 June 1980 ,Group 1   ,Full time »,Greece,1-3,Czechoslovakia,Referee: Patrick Partridge (ENG)   – Stadium: Stadio Olimpico, Rome (ITA) ,,,,,,,,,,,,,,,
10 === ,12 June 1980 ,Group 2   ,Full time »,Belgium,1-1,England,Referee: Heinz Aldinger (GER)   – Stadium: Delle Alpi, Turin (ITA) ,,,,,,,,,,,,,,,
10 === ,12 June 1980 ,Group 2   ,Full time »,Spain,0-0,Italy,Referee: Károly Palotai (HUN)   – Stadium: Stadio Giuseppe Meazza, Milan (ITA) ,,,,,,,,,,,,,,,
10 === ,11 June 1980 ,Group 1   ,Full time »,Czechoslovakia,0-1,West Germany,Referee: Alberto Michelotti (ITA)   – Stadium: Stadio Olimpico, Rome (ITA) ,,,,,,,,,,,,,,,
10 === ,11 June 1980 ,Group 1   ,Full time »,Netherlands,1-0,Greece,Referee: Adolf Prokop (GER)   – Stadium: Stadio San Paolo, Naples (ITA),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
15 === ,27 June 1984 ,Final,Full time »,France,2-0,Spain,Referee,not available, ,Stadium,:,Parc des Princes, ,Paris (FRA) ,,,,,,,,,
11 === ,24 June 1984 ,Semi-finals,Full time »,Denmark,1-1,Spain,Spain win  5-4  on penalties, ,Referee: George Courtney (ENG)   – Stadium: Stade de Gerland, Lyon (FRA) ,,,,,,,,,,,,,
11 === ,23 June 1984 ,Semi-finals,Full time »,France,3-2,Portugal,France win after extra time , ,Referee: Paolo Bergamo (ITA)   – Stadium: Stade Vélodrome, Marseille (FRA) ,,,,,,,,,,,,,
10 === ,20 June 1984 ,Group 2   ,Full time »,West Germany,0-1,Spain,Referee: Vojtech Christov (SVK)   – Stadium: Parc des Princes, Paris (FRA) ,,,,,,,,,,,,,,,
10 === ,20 June 1984 ,Group 2   ,Full time »,Portugal,1-0,Romania,Referee: Heinz Fahnler (AUT)   – Stadium: La Beaujoire, Nantes (FRA) ,,,,,,,,,,,,,,,
10 === ,19 June 1984 ,Group 1   ,Full time »,France,3-2,Yugoslavia,Referee: André Daina (SUI)   – Stadium: Geoffroy-Guichard, Saint-Etienne (FRA) ,,,,,,,,,,,,,,,
10 === ,19 June 1984 ,Group 1   ,Full time »,Denmark,3-2,Belgium,Referee: Adolf Prokop (GER)   – Stadium: La Meinau, Strasbourg (FRA) ,,,,,,,,,,,,,,,
10 === ,17 June 1984 ,Group 2   ,Full time »,West Germany,2-1,Romania,Referee: Jan N.I. Keizer (NED)   – Stadium: Stade Félix-Bollaert, Lens (FRA) ,,,,,,,,,,,,,,,
10 === ,17 June 1984 ,Group 2   ,Full time »,Portugal,1-1,Spain,Referee: Michel Vautrot (FRA)   – Stadium: Stade Vélodrome, Marseille (FRA) ,,,,,,,,,,,,,,,
10 === ,16 June 1984 ,Group 1   ,Full time »,France,5-0,Belgium,Referee: Robert B. Valentine (SCO)   – Stadium: La Beaujoire, Nantes (FRA) ,,,,,,,,,,,,,,,
